#ID	#NAME	#PANELNUMBER	#MESSAGE
1	成美	1	あいたたた...
2	成美	1	振り落とされちゃった.../って　妖怪！？
3	成美	1	なんだ、弱そうなやつじゃない
4	リグル	0	なにをー！
5	成美	1	これなら　私でも/退治できそうだわー
6	成美	1	弾幕勝負よ！
7	成美	1	こ、この妖怪、出来る！
8	ラルバ	0	あんたも　妖怪じゃないの？
9	成美	1	これでも　私は魔法使いよ
10	成美	1	魔理沙に　拉致されて/一緒に　異変解決を/させられているの
11	成美	1	虫ふぜいに　負けちゃうし.../今日は　さんざんだわ...
12	ラルバ	0	異変について　知ってることを/教えてほしいんだけど
13	成美	1	うーん、魔理沙曰く　/この逆さ城の　小人と　天邪鬼が/元凶っぽいらしいわ
14	成美	1	小人が　魔力で　ものを/大きくしたり　できるみたいで
15	成美	1	そいつの仕業じゃないかって
16	リグル	0	なるへそー
17	リグル	0	今度　その小人に/虫たちを　大きくしてもらえるよう/頼も！
18	リグル	0	異変の　原因も知れたし/もう　帰ろうかな
19	あ	0	ああああ
20	あ	0	ああああ
21	あ	0	ああああ
22	リグル	0	え？
23	魔理沙	1	成子！　大丈夫か！
