#ID	#NAME	#PANELNUMBER	#MESSAGE
1	ラルバ	0	あ、出た
2	隠岐奈	1	まさか　こんな　小さな/妖怪が　やってくるとはな。
3	隠岐奈	1	それも　蟲の妖怪　だなんて。/おもしろい
4	リグル	0	あなたは　一体　何者なの？
5	隠岐奈	1	私は摩多羅　隠岐奈。
6	隠岐奈	1	後戸の神であり、
7	隠岐奈	1	障碍の神であり、
8	隠岐奈	1	能楽の神であり、
9	隠岐奈	1	宿神であり、
10	隠岐奈	1	星神である。
11	隠岐奈	1	そして　現在　幻想郷で/起きている　異変の　黒幕よ。
12	隠岐奈	1	力が有り余った　小人がいたから/異変を　起こすように/そそのかしたんだ
13	ラルバ	0	黒幕ですって！/倒したら　名をあげれるわ！
14	リグル	0	無理だって！
15	リグル	0	異変の　解決なんて/巫女とかに　まかせればいいのよ。
16	隠岐奈	1	私は　お前たちに/興味があるんだがな。
17	ラルバ	0	あらやだ
18	隠岐奈	1	もしかしたら　やつを倒す/可能性があるかもしれん。
19	隠岐奈	1	それも　お前の力が/見るに足る物だったらの/話だがな。
20	隠岐奈	1	思う存分　力を発揮せよ！
21	隠岐奈	1	そして私に　見せてみよ！
22	隠岐奈	1	跳ね踊る蟲の　暗黒能楽を！
23	non	non	non
24	non	non	non
25	non	non	non
26	non	non	non
27	non	non	non
28	non	non	non
29	non	non	non
30	隠岐奈	1	いやー　見事だ。
31	隠岐奈	1	まさか　蟲の妖怪が/こうなるとは　予想しなかったな。
32	リグル	0	なんの話？
33	隠岐奈	1	今回は　お前たちが/常世の神を　討ちたおす/役割をもったようだ。
34	ラルバ	0	常世の神？
35	隠岐奈	1	人心を惑わす　憎らしい神だ/最近　復活し始め、/人間達を　惑わし始めている
36	隠岐奈	1	以前　現れた時は/人間に　討伐を任せたんだが
37	隠岐奈	1	まあ　妖怪でもいいだろう/幻想郷ならな
38	隠岐奈	1	常世の国までは　私が案内しよう/任せたぞ！
